Identifier,Status,Marker,Grade,Maximum Grade,Marking workflow state (Release grades and feedback),Grade can be changed,Last modified (submission),Last modified (grade),Feedback comments
Participant 12895854,Submitted for grading - 6 days 14 hours late - Not marked,Prahlad Saldanha,88,100,Not marked,Yes,"Friday, 10 May 2024, 2:21 AM","Friday, 10 May 2024, 2:21 AM",
Participant 12895703,Submitted for grading - 6 days 4 hours late - Not marked,Daniel Graham,55,100,Not marked,Yes,"Thursday, 9 May 2024, 4:53 PM","Thursday, 9 May 2024, 4:53 PM",
Participant 12895889,Submitted for grading - 5 days 7 hours late - Marking completed,Dar'ya Klymenko,58,100,Marking completed,Yes,"Wednesday, 8 May 2024, 7:15 PM","Wednesday, 8 May 2024, 7:15 PM",
Participant 12895959,Submitted for grading - 5 days 2 hours late - Not marked,Despina Djama,62,100,Not marked,Yes,"Wednesday, 8 May 2024, 2:35 PM","Wednesday, 8 May 2024, 2:35 PM",
Participant 12895853,Submitted for grading - 4 days 8 hours late - Not marked,Louise Crichton,58,100,Not marked,Yes,"Tuesday, 7 May 2024, 8:08 PM","Wednesday, 1 May 2024, 4:29 PM",
Participant 12895741,Submitted for grading - 34 mins 36 secs late - Not marked,Joel Solomons,77,100,Not marked,Yes,"Friday, 3 May 2024, 12:34 PM","Friday, 3 May 2024, 11:56 AM",
Participant 12895861,Submitted for grading - 1 min late - Marking completed,Dar'ya Klymenko,58,100,Marking completed,Yes,"Friday, 3 May 2024, 12:01 PM","Friday, 3 May 2024, 12:01 PM",
Participant 12895909,Submitted for grading - 46 secs late - Not marked,Louise Crichton,62,100,Not marked,Yes,"Friday, 3 May 2024, 12:00 PM","Friday, 3 May 2024, 12:00 PM",
Participant 12895768,Submitted for grading - Not marked,Joel Solomons,58,100,Not marked,Yes,"Friday, 3 May 2024, 11:59 AM","Friday, 3 May 2024, 11:59 AM",
Participant 12895748,Submitted for grading - Not marked,Nomiki Koutsoumpari,62,100,Not marked,Yes,"Friday, 3 May 2024, 11:58 AM","Thursday, 2 May 2024, 4:20 PM",
Participant 12895751,Submitted for grading - Not marked,Spencer Talbot,58,100,Not marked,Yes,"Friday, 3 May 2024, 11:53 AM","Friday, 3 May 2024, 11:53 AM",
Participant 12895710,Submitted for grading - Not marked,Joel Solomons,65,100,Not marked,Yes,"Friday, 3 May 2024, 11:52 AM","Friday, 3 May 2024, 11:52 AM",
Participant 12895947,Submitted for grading - Not marked,Nomiki Koutsoumpari,65,100,Not marked,Yes,"Friday, 3 May 2024, 11:50 AM","Friday, 3 May 2024, 11:46 AM",
Participant 12895896,Submitted for grading - Not marked,Joel Solomons,65,100,Not marked,Yes,"Friday, 3 May 2024, 11:32 AM","Friday, 3 May 2024, 12:23 AM",
